epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,2160.42,0.99133,0.60536,1.08168,0.91502,0.90309,0.96733,0.77622,0.89964,0.47711,1.06505,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,2183.41,0.99103,0.61413,1.08018,0.9097,0.92738,0.97297,0.78129,0.90273,0.46379,1.06596,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,2206.11,0.98652,0.59349,1.0868,0.92447,0.90803,0.9715,0.78284,0.89503,0.48417,1.05401,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,2228.72,0.9894,0.59035,1.07825,0.96185,0.88848,0.97207,0.78097,0.89919,0.49911,1.06066,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,2251.39,0.98143,0.59035,1.07273,0.93465,0.8962,0.96861,0.77673,0.89121,0.54279,1.06116,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,2274.59,0.96458,0.58656,1.08012,0.92989,0.90654,0.9729,0.78842,0.87638,0.49472,1.04368,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,2297.23,0.97387,0.58486,1.07304,0.94318,0.90361,0.97101,0.78822,0.89498,0.49564,1.05634,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,2320.09,0.96163,0.58576,1.07499,0.93551,0.88578,0.96812,0.78036,0.90041,0.49793,1.05697,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,2343.09,0.96743,0.5763,1.07571,0.93022,0.91406,0.97176,0.78442,0.89095,0.48994,1.04359,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,2366.26,0.94813,0.57608,1.07646,0.95307,0.89096,0.97309,0.79357,0.88329,0.4771,1.0383,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
